cart_id,customer_id,product_id,product_name,category,price,quantity,cart_total,abandoned_at
K0044,C0044,P020,Merino Socks,socks,29.0,1,228.0,2026-01-13T16:57:00+00:00
K0045,C0045,P009,Snow Pants,pants,129.0,1,168.0,2026-01-11T22:43:00+00:00
K0045,C0045,P015,Faux Fur Scarf,scarf,39.0,1,168.0,2026-01-11T22:43:00+00:00
K0046,C0046,P017,Beanie Hat,hat,22.0,1,22.0,2026-01-12T08:42:00+00:00
K0047,C0047,P019,Ski Pants,pants,199.0,1,258.0,2026-01-13T23:22:00+00:00
K0047,C0047,P016,Touchscreen Gloves,gloves,59.0,1,258.0,2026-01-13T23:22:00+00:00
K0048,C0048,P007,Cable Knit Hat,hat,25.0,1,25.0,2026-01-14T07:12:00+00:00
K0049,C0049,P011,Mountain Jacket,jacket,279.0,1,279.0,2026-01-11T12:33:00+00:00
K0050,C0050,P013,Trench Coat,coat,329.0,1,329.0,2026-01-13T19:25:00+00:00
K0051,C0051,P012,Cashmere Sweater,sweater,199.0,1,588.0,2026-01-12T11:31:00+00:00
K0051,C0051,P003,Down Filled Coat,coat,389.0,1,588.0,2026-01-12T11:31:00+00:00
K0052,C0052,P011,Mountain Jacket,jacket,279.0,1,777.0,2026-01-14T23:59:00+00:00
K0052,C0052,P019,Ski Pants,pants,199.0,1,777.0,2026-01-14T23:59:00+00:00
K0052,C0052,P014,Shearling Boots,boots,299.0,1,777.0,2026-01-14T23:59:00+00:00
K0053,C0053,P006,Waterproof Gloves,gloves,49.0,1,146.0,2026-01-09T08:45:00+00:00
K0053,C0053,P020,Merino Socks,socks,29.0,2,146.0,2026-01-09T08:45:00+00:00
K0053,C0053,P015,Faux Fur Scarf,scarf,39.0,1,146.0,2026-01-09T08:45:00+00:00
K0054,C0054,P013,Trench Coat,coat,329.0,1,329.0,2026-01-12T02:13:00+00:00
K0055,C0055,P011,Mountain Jacket,jacket,279.0,1,279.0,2026-01-14T19:20:00+00:00
K0056,C0056,P017,Beanie Hat,hat,22.0,1,22.0,2026-01-09T00:38:00+00:00
K0057,C0057,P021,Parka Coat,coat,249.0,1,278.0,2026-01-14T06:22:00+00:00
K0057,C0057,P005,Woven Wool Scarf,scarf,29.0,1,278.0,2026-01-14T06:22:00+00:00
K0058,C0058,P021,Parka Coat,coat,249.0,1,249.0,2026-01-08T15:29:00+00:00
K0059,C0059,P019,Ski Pants,pants,199.0,1,199.0,2026-01-11T14:01:00+00:00
K0060,C0060,P021,Parka Coat,coat,249.0,2,806.0,2026-01-14T20:32:00+00:00
K0060,C0060,P020,Merino Socks,socks,29.0,1,806.0,2026-01-14T20:32:00+00:00
K0060,C0060,P011,Mountain Jacket,jacket,279.0,1,806.0,2026-01-14T20:32:00+00:00
K0061,C0061,P009,Snow Pants,pants,129.0,1,328.0,2026-01-12T21:32:00+00:00
K0061,C0061,P019,Ski Pants,pants,199.0,1,328.0,2026-01-12T21:32:00+00:00
K0062,C0062,P012,Cashmere Sweater,sweater,199.0,1,199.0,2026-01-14T15:05:00+00:00
K0063,C0063,P003,Down Filled Coat,coat,389.0,1,462.0,2026-01-10T10:32:00+00:00
K0063,C0063,P020,Merino Socks,socks,29.0,1,462.0,2026-01-10T10:32:00+00:00
K0063,C0063,P017,Beanie Hat,hat,22.0,2,462.0,2026-01-10T10:32:00+00:00
K0064,C0064,P019,Ski Pants,pants,199.0,1,473.0,2026-01-14T21:54:00+00:00
K0064,C0064,P021,Parka Coat,coat,249.0,1,473.0,2026-01-14T21:54:00+00:00
K0064,C0064,P007,Cable Knit Hat,hat,25.0,1,473.0,2026-01-14T21:54:00+00:00
K0065,C0065,P011,Mountain Jacket,jacket,279.0,1,668.0,2026-01-13T13:32:00+00:00
K0065,C0065,P003,Down Filled Coat,coat,389.0,1,668.0,2026-01-13T13:32:00+00:00
K0066,C0066,P017,Beanie Hat,hat,22.0,1,129.0,2026-01-09T01:17:00+00:00
K0066,C0066,P020,Merino Socks,socks,29.0,2,129.0,2026-01-09T01:17:00+00:00
K0066,C0066,P006,Waterproof Gloves,gloves,49.0,1,129.0,2026-01-09T01:17:00+00:00
K0067,C0067,P021,Parka Coat,coat,249.0,1,528.0,2026-01-09T23:42:00+00:00
K0067,C0067,P011,Mountain Jacket,jacket,279.0,1,528.0,2026-01-09T23:42:00+00:00
K0068,C0068,P022,Fleece Lined Jacket,jacket,189.0,2,378.0,2026-01-11T07:39:00+00:00
K0069,C0069,P022,Fleece Lined Jacket,jacket,189.0,1,189.0,2026-01-13T02:19:00+00:00
K0070,C0070,P013,Trench Coat,coat,329.0,1,387.0,2026-01-12T18:36:00+00:00
K0070,C0070,P005,Woven Wool Scarf,scarf,29.0,2,387.0,2026-01-12T18:36:00+00:00
K0071,C0071,P011,Mountain Jacket,jacket,279.0,1,308.0,2026-01-09T14:02:00+00:00
K0071,C0071,P005,Woven Wool Scarf,scarf,29.0,1,308.0,2026-01-09T14:02:00+00:00
K0072,C0072,P021,Parka Coat,coat,249.0,1,438.0,2026-01-13T02:49:00+00:00
K0072,C0072,P022,Fleece Lined Jacket,jacket,189.0,1,438.0,2026-01-13T02:49:00+00:00
K0073,C0073,P011,Mountain Jacket,jacket,279.0,1,363.0,2026-01-09T08:28:00+00:00
K0073,C0073,P016,Touchscreen Gloves,gloves,59.0,1,363.0,2026-01-09T08:28:00+00:00
K0073,C0073,P007,Cable Knit Hat,hat,25.0,1,363.0,2026-01-09T08:28:00+00:00
K0074,C0074,P017,Beanie Hat,hat,22.0,1,160.0,2026-01-11T07:22:00+00:00
K0074,C0074,P002,Fleece Lined Sweater,sweater,69.0,2,160.0,2026-01-11T07:22:00+00:00
K0075,C0075,P006,Waterproof Gloves,gloves,49.0,1,49.0,2026-01-09T16:09:00+00:00
K0076,C0076,P015,Faux Fur Scarf,scarf,39.0,1,706.0,2026-01-11T02:12:00+00:00
K0076,C0076,P002,Fleece Lined Sweater,sweater,69.0,1,706.0,2026-01-11T02:12:00+00:00
K0076,C0076,P014,Shearling Boots,boots,299.0,2,706.0,2026-01-11T02:12:00+00:00
K0077,C0077,P015,Faux Fur Scarf,scarf,39.0,1,78.0,2026-01-08T20:03:00+00:00
K0077,C0077,P008,Long Sleeve Thermal,thermal,39.0,1,78.0,2026-01-08T20:03:00+00:00
K0078,C0078,P012,Cashmere Sweater,sweater,199.0,2,776.0,2026-01-12T02:11:00+00:00
K0078,C0078,P022,Fleece Lined Jacket,jacket,189.0,2,776.0,2026-01-12T02:11:00+00:00
K0079,C0079,P017,Beanie Hat,hat,22.0,1,22.0,2026-01-14T05:09:00+00:00
K0080,C0080,P009,Snow Pants,pants,129.0,1,267.0,2026-01-11T08:15:00+00:00
K0080,C0080,P002,Fleece Lined Sweater,sweater,69.0,2,267.0,2026-01-11T08:15:00+00:00
K0081,C0081,P004,Thermal Insulated Boots,boots,149.0,1,168.0,2026-01-11T19:51:00+00:00
K0081,C0081,P010,Warm Fleece Socks,socks,19.0,1,168.0,2026-01-11T19:51:00+00:00
K0082,C0082,P003,Down Filled Coat,coat,389.0,1,467.0,2026-01-14T22:57:00+00:00
K0082,C0082,P008,Long Sleeve Thermal,thermal,39.0,2,467.0,2026-01-14T22:57:00+00:00
K0083,C0083,P012,Cashmere Sweater,sweater,199.0,1,199.0,2026-01-15T00:46:00+00:00
K0084,C0084,P004,Thermal Insulated Boots,boots,149.0,1,149.0,2026-01-10T01:10:00+00:00
K0085,C0085,P002,Fleece Lined Sweater,sweater,69.0,1,69.0,2026-01-08T20:16:00+00:00
K0086,C0086,P016,Touchscreen Gloves,gloves,59.0,1,137.0,2026-01-15T03:47:00+00:00
K0086,C0086,P015,Faux Fur Scarf,scarf,39.0,2,137.0,2026-01-15T03:47:00+00:00
K0087,C0087,P018,Base Layer Thermal,thermal,49.0,1,78.0,2026-01-13T04:41:00+00:00
K0087,C0087,P020,Merino Socks,socks,29.0,1,78.0,2026-01-13T04:41:00+00:00
K0088,C0088,P008,Long Sleeve Thermal,thermal,39.0,1,39.0,2026-01-08T16:31:00+00:00
K0089,C0089,P016,Touchscreen Gloves,gloves,59.0,1,59.0,2026-01-14T15:28:00+00:00
K0090,C0090,P005,Woven Wool Scarf,scarf,29.0,1,48.0,2026-01-13T17:34:00+00:00
K0090,C0090,P010,Warm Fleece Socks,socks,19.0,1,48.0,2026-01-13T17:34:00+00:00
K0091,C0091,P022,Fleece Lined Jacket,jacket,189.0,1,189.0,2026-01-13T09:27:00+00:00
K0092,C0092,P017,Beanie Hat,hat,22.0,1,120.0,2026-01-14T15:36:00+00:00
K0092,C0092,P018,Base Layer Thermal,thermal,49.0,2,120.0,2026-01-14T15:36:00+00:00
K0093,C0093,P009,Snow Pants,pants,129.0,1,557.0,2026-01-10T08:11:00+00:00
K0093,C0093,P001,Winter Parka,jacket,229.0,1,557.0,2026-01-10T08:11:00+00:00
K0093,C0093,P012,Cashmere Sweater,sweater,199.0,1,557.0,2026-01-10T08:11:00+00:00
K0094,C0094,P011,Mountain Jacket,jacket,279.0,1,308.0,2026-01-08T15:49:00+00:00
K0094,C0094,P005,Woven Wool Scarf,scarf,29.0,1,308.0,2026-01-08T15:49:00+00:00
K0095,C0095,P022,Fleece Lined Jacket,jacket,189.0,2,417.0,2026-01-14T07:56:00+00:00
K0095,C0095,P015,Faux Fur Scarf,scarf,39.0,1,417.0,2026-01-14T07:56:00+00:00
K0096,C0096,P015,Faux Fur Scarf,scarf,39.0,1,108.0,2026-01-14T10:40:00+00:00
K0096,C0096,P002,Fleece Lined Sweater,sweater,69.0,1,108.0,2026-01-14T10:40:00+00:00
K0097,C0097,P017,Beanie Hat,hat,22.0,1,400.0,2026-01-13T00:05:00+00:00
K0097,C0097,P013,Trench Coat,coat,329.0,1,400.0,2026-01-13T00:05:00+00:00
K0097,C0097,P018,Base Layer Thermal,thermal,49.0,1,400.0,2026-01-13T00:05:00+00:00
K0098,C0098,P021,Parka Coat,coat,249.0,1,528.0,2026-01-11T23:13:00+00:00
K0098,C0098,P011,Mountain Jacket,jacket,279.0,1,528.0,2026-01-11T23:13:00+00:00
K0099,C0099,P013,Trench Coat,coat,329.0,1,329.0,2026-01-13T20:16:00+00:00
K0100,C0100,P017,Beanie Hat,hat,22.0,1,22.0,2026-01-14T12:33:00+00:00
